question,contexts,answer,ground_truth,answer_correctness,faithfulness,answer_relevancy,context_precision
"What is the significance of cherry trees in Washington, D.C.?","[""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's almost over: See the proof . The festival was launched more than 20 years later . It wasn't until 1935""
 ""Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found in the East Potomac Park area and produce pink blossoms. The Yoshino, which produce white blossoms, are closer to the northern part of the Tidal Basin near the Washington Monument. Descendants of the original trees live in Japan . In 2011, about 120 trees propagated from D.C.'s surviving 1912 trees were sent back to Japan to preserve the genetic lineage of the symbolic trees. Over the years, cuttings from the original trees have also been returned to Japan for horticultural projects.""
 'Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It\'s not all about cherry trees . That\'s right, there\'s a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there\'s even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found']","The cherry trees in Washington, D.C., are significant as a symbol of friendship between Japan and the United States, originating from a 1912 gift of over 3,000 trees from Japan. They are celebrated annually during the National Cherry Blossom Festival, which attracts many visitors and highlights the cultural and historical importance of the trees. The festival includes various events, such as the Blossom Kite Festival, and showcases the beauty of the Yoshino and Kwanzan cherry tree varieties.","Cherry trees hold great significance in Washington, D.C. as they are a symbol of the friendship between the United States and Japan. The gift of cherry trees from Japan to Washington, D.C. in 1912 has led to the annual National Cherry Blossom Festival, which attracts millions of visitors each year. The cherry blossoms also represent the arrival of spring and are a beautiful sight for locals and tourists alike.",0.7441216422034161,0.875,0.9837136037544654,0.9999999999666667
What is one of the events that Hillary Clinton will be participating in during the month of March that involves a paid appearance?,"[""(CNN)After a handful events in two months, Hillary Clinton has filled her March with a mix of women's events, nonprofit speeches and at least one paid appearance. In January and February, Clinton headlined three events -- only one of which was in the United States. But as Clinton moves closer to her expected 2016 presidential campaign announcement, the former secretary or state has at least seven events scheduled for the month of March. Most of Clinton's events are focused on one thing: women. Clinton starts her month by headlining the 30th anniversary gala for Emily's List -- a pro-Clinton organization that focused on helping Democratic women win elected office. At the D.C. speech on March 3, Clinton is expected to give a nod to the group's importance to Democrats and highlight the reason more women are needed in politics. Emily's List has been energized by Clinton's campaign and has pledged to raise and spend more money than any other election cycle because of the prospect of a""
 'In 1998, Clinton put together the Vital Voices Conference of women in Belfast, a body that pressed for a piece agreement. The former secretary of state cited her experiences in Ireland during a number of speeches in 2014. O\'Dowd is a longtime Clinton supporter, though,and was a member of her 2008 campaign finance team. Some Republicans have questioned how active Clinton was in the Northern Ireland peace process. The Washington Post Fact Checker wrote in 2008 that Clinton ""seems to be overstating her significance as a catalyst in the Northern Ireland peace process, which was more symbolic than substantive,"" but that she did play ""a helpful role at the margins."" On March 19, Clinton will headline her only confirmed paid speech of the month when she heads to Atlantic City for the American Camp Association, NY & NJ Conference. Susie Lupert, the group\'s executive director, tells CNN, ""Yes, just like most nonprofits and conferences, she is being paid for her appearance."" But she would not'
 'Association, NY & NJ Conference. Susie Lupert, the group\'s executive director, tells CNN, ""Yes, just like most nonprofits and conferences, she is being paid for her appearance."" But she would not confirm how much she is being paid. On average, Clinton makes between $200,000 and $300,000 per speech. Near the end of the month, on March 23 in Washington, D.C., Clinton will be the keynote speaker at the award celebration for the Toner Prize for Excellence in Political Reporting from Syracuse University. Robin Toner, who graduated from Syracuse, was the first woman national political correspondent for the New York Times. Syracuse Dean Lorraine Branham said Clinton is a ""vivid example — like Robin — of a pioneering woman at the top of her profession."" Clinton headlining an event honoring political journalists is somewhat unique because for decades she has held a dim view of the profession. In a 1996, according to the diary of the late Clinton confidant Diane Blair, Clinton said the media']","Hillary Clinton will be participating in a paid appearance at the American Camp Association, NY & NJ Conference in Atlantic City on March 19.","Hillary Clinton will be participating in the American Camp Association, NY & NJ Conference in Atlantic City on March 19, which is a paid appearance.",0.9985233952262356,1.0,0.9445433096852055,0.9999999999666667
What role did the United States-led coalition play in the fight against ISIS according to King Abdullah II of Jordan?,"['(CNN)In his first interview since Islamic State militants burned alive a Jordanian pilot, the King of Jordan spoke to CNN\'s Fareed Zakaria about why and how the country is going after the terror group. Last December, ISIS captured Royal Jordanian Air Force pilot Moath al-Kasasbeh after his plane went down during airstrikes that were part of the United States-led coalition to defeat the group. For more than a month, al-Kasasbeh\'s family, hailing from a high-ranking tribe considered especially loyal to Jordan\'s royal family, implored ISIS to let him go. Hope that he could be spared ended in early February when a video emerged showing the 29-year-old pilot in a cage, being burned alive. King Abdullah II, an instrumental supporter of the global coalition, then said Jordan would be relentless in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his commitment to stop ISIS. He called its fighters ""outlaws"" who twist Islam and use ""intimidation"" as'
 '(CNN)He doesn\'t wear a uniform or hold an official rank, but Hadi Al-Amari is a powerful military leader in Iraq. He leads the Hashd Al-Shaabi, a predominantly Shia paramilitary force doing much of the fighting in the critical battle to take Tikrit from ISIS extremists. Ousting ISIS from Tikrit is important for dozens of countries in the United States-led coalition trying to thwart the Islamist extremist group\'s quest to grow its caliphate. Iran isn\'t a part of this coalition, but it is also working to defeat ISIS -- something that\'s provoked both relief and alarm in Washington. Al-Amari is confident his men, with help from the Iraqi army and some Sunnis, can crush ISIS in Iraq without this coalition\'s help. He\'s sure because the Iranians are advising them. ""We don\'t need it, and we won\'t need it,"" he said. ""Anyone who puts their faith in the international coalition to liberate Iraq is putting their faith on a mirage."" Iran knows what it\'s doing, in his view. ""Yes, we declare to the'
 'in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his commitment to stop ISIS. He called its fighters ""outlaws"" who twist Islam and use ""intimidation"" as their biggest weapon. The King told Zakaria that he didn\'t watch the video of the pilot\'s slaying. ""I -- many of us refused to see what I think is propaganda,"" Abdullah said. He felt ""disgust, sadness for the family"" and his ""heart went out to the father, the mother, the brothers, the sisters,"" the King continued. ""His wife, they\'d only been married for five months. (I felt) anger as the son of the Arab army, Jordanian armed forces. God bless his soul. He\'s a brother in arms. ""All soldiers past and present were disgusted by the brutality of what Moath was put through,"" Abdullah said. During his interview with Zakaria, the King repeatedly referred to ISIS, the Islamic State of Iraq and Syria, as Daesh. That\'s an acronym for al-Dawla al-Islamiya al-Iraq al-Sham. Many in the Middle East']","The United States-led coalition played a significant role in the fight against ISIS, with Jordan being an instrumental supporter of this global coalition. Jordan participated in airstrikes as part of the coalition's efforts to defeat ISIS. King Abdullah II reiterated his commitment to stopping ISIS and described the group's fighters as ""outlaws"" who twist Islam and use intimidation as their biggest weapon.",The United States-led coalition played a role in the fight against ISIS by conducting airstrikes in support of Jordan and other countries. King Abdullah II mentioned that Jordan coordinated with their friends in Iraq and that there is a long-term approach to fighting ISIS.,0.7791937137081898,0.6,0.9192763341979527,0.9999999999666667
"What can viewers expect from the season finale of ""The Walking Dead""?","['(CNN)Have Rick and his fellow survivors finally found a place they can settle in for the long term? That was the question left still unanswered at the end of Sunday night\'s season finale of ""The Walking Dead,"" and a finale record 15.8 million viewers tuned in to find out the answer. Rick was back in ""Ricktatorship"" mode, telling the residents of Alexandria that he knew what it took to survive and they should follow him. That led up to one of many moments where we gasped during the 90-minute finale. Here are five of the biggest gaspworthy moments: . 1. Morgan is back . We\'ve literally been looking for him all season, and Rick\'s old friend Morgan -- going all the way back to the first episode -- made a return appearance, wielding a stick he used to kick walker, and human, butt when necessary. And it was definitely necessary once he was captured by two men wearing W\'s on their heads, who, we would later learn, wanted to turn Morgan into a walker in order to join a horde of walkers they'
 'serves as showrunner, while Adam Davidson directed the pilot. ""Walking Dead"" VFX guru Greg Nicotero will also exec produce the series. While AMC has been tight-lipped on its premise, sources tell The Hollywood Reporter that the series is a prequel that takes place in Los Angeles at the onset of the zombie outbreak. AMC on Monday confirmed that the companion series is set in Los Angeles but revealed nothing more beyond that it will focus on new characters and storylines. The drama is still untitled. Read more: AMC\'s \'Walking Dead\' Prequel: All the Details (So Far) Cliff Curtis (""Gang Related"") stars as Sean Cabrera, a teacher who shares a son with his ex-wife. ""Sons of Anarchy\'s"" Kim Dickens is set to co-star as Nancy, a guidance counselor who works at the school with Sean and is seeing him romantically. Frank Dillane (""Harry Potter and the Half-Blood Prince"") co-stars as Nancy\'s son Nick, who has battled a drug problem; and Alycia Debnam Carey (""Into the Woods"") is set as Nancy\'s'
 '(CNN)They thought they had found a paradise. They thought wrong. The resolution of the Alexandria story arc is the first of six things you should watch this week. 1. ""The Walking Dead,"" 9 p.m. ET Sunday, AMC . ""The Walking Dead\'s"" season-long plotline involving a group that headed north from Atlanta all comes to a head in a 90-minute season finale on Sunday night. It\'s been a season in which Sonequa Martin-Green\'s character, Sasha, stood out: She\'s on the verge of insanity after the deaths of her brother and many friends. ""We went to a very deep place,"" Martin-Green said. ""It was hard, depressing, bad and thrilling all at the same time. A lot of the stuff was quite challenging for me. It was something I can definitely look back on and be proud of."" With Rick having gone on a blood-soaked, gun-wielding rant in front of the leaders of the Alexandria community, his fate and that of his fellow survivors hangs in the balance. ""There\'s gonna be all the twists and turns you would expect and']","Viewers can expect a 90-minute season finale with many gaspworthy moments, including the return of Rick's old friend Morgan. The episode will also feature Rick in ""Ricktatorship"" mode, asserting his leadership over the Alexandria residents. Additionally, the fate of Rick and his fellow survivors will hang in the balance, with plenty of twists and turns.","The season finale of ""The Walking Dead"" is expected to be a jam-packed episode filled with twists and turns. It has been extended to 90 minutes due to the amount of content packed into it. Viewers can expect a supersized monstrosity of an episode that will go down as one of the best in the show's history.",0.4666954349698583,1.0,0.9739652244124546,0.8333333332916666
What is the significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum?,"['(CNN)Wednesday\'s terrorist attack, which killed 23 people, hit Tunisia where it hurt by targeting its flourishing tourism industry. The deadly attack on the prominent Bardo Museum near Tunisia\'s parliament in the country\'s capital, Tunis, is the latest instance of an armed assault carried out by gunmen willing to fight to the death, a tactic that has been widely adopted by jihadist terrorists in recent years, including in North Africa. Such attacks mimic the 2008 Mumbai assaults in which 10 gunmen from Pakistan went on a rampage in the massive Indian port city. They took hostages and killed more than 160 people over a three-day period, in an attack that drew  sustained global TV coverage. The gunmen attacked iconic Mumbai targets such as the Taj hotel, which is frequented by Westerners. The Mumbai gunmen embarked on their attack knowing that it was a ""fedayeen"" mission -- meaning ""those who sacrifice themselves"" -- and that they would probably fight to the death. Only one gunman'
 ""(CNN)The attack on Tunisia's famed Bardo Museum is just the latest evidence that parts of North and sub-Saharan Africa have become a magnet for Islamist extremism. Tunisia -- lying just across the Mediterranean from Europe, but bordered on one side by Libya and on the other by Algeria -- has until now not suffered the kind of large-scale terror attacks seen in both those nations in recent years. But it has emerged as a place of increasing concern as the threat of Islamist extremism has intensified in the region. Islamist terrorists also have struck in Algeria, where they killed at least 37 hostages at a gas field in 2013, and in Libya, where terrorists killed the U.S. ambassador and three others in 2012 and where ISIS has established a beachhead in the east. Al Qaeda's North African offshoot Al Qaeda in the Islamic Maghreb (AQIM), which has its roots in Algeria, has captured territory in Mali and taken hostages -- often Europeans -- in countries such as Niger and Mauritania. So what is""
 '(CNN)The terrorists who attacked the Bardo Museum in Tunis, Tunisia, last week were wearing suicide vests but failed to detonate them before being gunned down by police, Tunisia\'s President told CNN. ""They had them, but they didn\'t work, because the police turned up and they were shot down and they didn\'t have the time to get these vests to work. Because had they done so, we would have had major catastrophe,"" President Beji Caid Essebsi told CNN\'s Christiane Amanpour. A third museum attacker remains at large, Essebsi said. Previously two suspects had been identified -- Yassine Labidi and Saber Khachnaou -- though it wasn\'t immediately clear if they were the pair killed at the museum by Tunisian security forces. Essebsi told Amanpour 15 arrests had been made since Wednesday\'s attack, in which 23 people were killed. Most of the victims were foreigners and 19 were tourists who\'d been on two cruise ships that docked in Tunis. Essebsi said he believed the attackers were members of ISIS who']","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that it highlights the growing threat of Islamist extremism in Tunisia, a country that had previously not experienced large-scale terror attacks like its neighbors Algeria and Libya. The attack, which killed 23 people, primarily targeted the tourism industry and involved tactics similar to those used in other high-profile jihadist attacks, indicating the influence of groups like ISIS in the region. This incident underscores Tunisia's emerging vulnerability to such extremist threats.","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that he had tweeted about a pledge of allegiance to Abu Bakr al-Baghdadi, the leader of ISIS, which was coming soon. This suggests that the attack could be ISIS' debut in Tunisia and was timed to precede a pledge of allegiance from Tunisian jihadis for maximum impact.",0.3861067345027454,1.0,0.9999988383739454,0.9999999999666667
How did the undercover FBI informant play a role in the arrest of the Army National Guard member and his cousin for allegedly conspiring to provide material support to ISIS?,"['(CNN)An Army National Guard member and his cousin have been arrested in Illinois for allegedly conspiring to provide material support to the terrorist organization ISIS, federal prosecutors said Thursday. The alleged plot included a plan to attack a U.S. military installation in Illinois. In the past 18 months, the Justice Department\'s National Security Division has prosecuted or is prosecuting 32 cases of people attempting to travel abroad to join or providing support to terrorist groups. Of those cases, 18 allegedly involve support to ISIS. Spc. Hasan Edmonds, 22, was arrested Wednesday night at Chicago Midway International Airport while attempting to travel to Egypt to eventually join ISIS, according to Assistant Attorney General for National Security John P. Carlin and other federal officials said. His cousin, Jonas ""Yunus"" Edmonds, 29, was arrested at his home in Aurora in connection with an alleged plot to carry out an armed attack on an unspecified U.S. military facility in'
 'officials said. His cousin, Jonas ""Yunus"" Edmonds, 29, was arrested at his home in Aurora in connection with an alleged plot to carry out an armed attack on an unspecified U.S. military facility in northern Illinois where Hasan Edmonds had been training. The two U.S. citizens were charged, in criminal complaints filed in U.S. District Court of the Northern District of Illinois, with one count each of conspiring to provide material support and resources to a foreign terrorist organization. The cousins made an initial appearance Thursday afternoon before U.S. Magistrate Judge Sheila Finnegan. Why is ISIS so successful at luring Westerners? After an undercover FBI informant posing as an ISIS fighter outside the United States sent Hasan Edmonds a Facebook ""friend"" request in late 2014, he began to receive private messages from him indicating that he and his cousin were willing to travel to overseas and fight for ISIS, according to the court documents. ""InshAllah we will complete our task'
 'to provide material support to terrorists,"" authorities said. He ""planned to travel to the Middle East to provide his services to radical groups engaged in armed conflict in Syria,"" according to a complaint. On February 2, 2014, an undercover agent met with Wolfe and his wife and they watched a YouTube video about foreign fighters in Syria, officials said. Wolfe allegedly discussed the activities of ISIS, they said. The 18-year-old from Inver Grove Heights, Minnesota, pleaded guilty at a Minneapolis federal court to one count of conspiracy to provide material support to ISIS . Yusuf was stopped by the FBI from boarding a flight to Turkey from Minneapolis/Saint Paul Airport in May. Yusuf and another man, Abdi Nur, were charged in late November with conspiring to aid ISIS. Conley\'s plan to join ISIS and serve as a nurse at a jihadist camp ended in September with a guilty plea on a terror charge in a Colorado federal court. Arrested in April, the 19-year-old was at Denver International']","The undercover FBI informant played a crucial role by posing as an ISIS fighter and sending Hasan Edmonds a Facebook ""friend"" request in late 2014. This led to private messages in which Hasan Edmonds and his cousin Jonas Edmonds expressed their willingness to travel overseas and fight for ISIS. These communications provided evidence that contributed to their arrest.","The undercover FBI informant played a role in the arrest by sending a Facebook friend request to Hasan Edmonds, posing as an ISIS fighter. This led to private messages between the informant and Hasan Edmonds, where they discussed their willingness to travel overseas and fight for ISIS. The informant provided information to the authorities, which ultimately led to the arrest of Hasan Edmonds and his cousin.",0.6750577671028701,1.0,0.8171146415003877,0.9999999999666667
How does the new Red brand aim to leverage Radisson's brand awareness?,"['Carlson Rezidor, which is hueing (sic) toward Red and Blu. Blu came about in 2009, after airline SAS withdrew from a partnership with Radisson. After the split, Radisson SAS, a collection of European design hotels, needed a new name. ""We wanted to replace SAS with an equally short name,"" says Rose Anderson, vice president of branding for the Carlson Rezidor Hotel Group. ""We liked using blue from the old SAS logo, because it brought in the heritage of the former brand. ""At the same time, we were looking for a word with positive worldwide connotations ... and blue is the world\'s favorite color."" So blue or bleu became Blu, a trademarkable spelling. Carlson Rezidor recently announced a new Red brand that will, according to Anderson, ""build on the Blu concept and further leverage Radisson\'s brand awareness."" New brands are also being dubbed with what may seem to be random nouns. But there\'s nothing random about them. Last year, InterContinental Hotels Group (IHG) rolled out EVEN, a new'
 'brand awareness."" New brands are also being dubbed with what may seem to be random nouns. But there\'s nothing random about them. Last year, InterContinental Hotels Group (IHG) rolled out EVEN, a new brand cultivated for the growing wellness-minded audience, with two properties in the United States. EVEN expresses the desire for the balance travelers are seeking, says an IHG spokesperson. In its logo, specific colors were chosen to represent elements of nature. The four vertical bars of the logo are off-kilter, while the EVEN letters are composed on a flat horizontal line, representing the brand promise of helping guests stay in balance. Malaysia-based Tune Hotels provides ""five-star beds at a one-star price."" The group has more than 40 properties worldwide, including five in London. Some in its management group were previously senior executives in the music business. It makes sense, then, that a travel company with a musical name would attempt to strike a global chord. Adding to the'
 'to insert themselves into a meaningful relationship with constituents who can turn on them at any second. This trend of demanding more authenticity from brands they invest in, and rewarding brands for it, has been accelerating with consumers across the U.S. over the course of the very same seven years since Clinton last ran for president. Since consumers are also voters, it stands to reason that any political brand -- including Hillary Clinton -- should look even more seriously today at how to increase its value by focusing on perceptions of its authenticity.']",The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept. This strategy involves using the established recognition and positive associations of the Radisson brand to promote and develop the new Red brand.,The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept and further leveraging Radisson's brand awareness.,0.8455984035072821,1.0,0.9609340845645938,0.99999999995
When are the peak blooms expected during the National Cherry Blossom Festival in Washington?,"[""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's almost over: See the proof . The festival was launched more than 20 years later . It wasn't until 1935""
 '(CNN)In Washington, we are seeing the re-emergence this year of a phenomenon that many Americans were afraid had gone extinct: real live no-joke bipartisanship. Heavyweights from both parties are attending the March 26 Bipartisan Summit on Criminal Justice Reform. The event is co-produced by Gingrich Productions (on the right) and by my project, #cut50 -- an initiative that aims to safely halve the number of people behind bars within 10 years. Attorney General Eric Holder will be speaking. So will Newt Gingrich, the Republican former House speaker. Sen. Cory Booker, D-New Jersey, will be there. So will Democratic strategist and CNN commentator Donna Brazile, a co-host of the summit. Republican power players like former Texas Gov. Rick Perry, Ohio Gov. John Kasich and Sen. Mike Lee, R-Utah, will address the gathering by video. So will President Obama. Progressives like myself will rub shoulders with representatives from Koch Industries. Everyone keeps asking me, ""How is this possible?""'
 'Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It\'s not all about cherry trees . That\'s right, there\'s a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there\'s even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found']",The peak blooms during the National Cherry Blossom Festival in Washington are expected between April 11 and April 14.,The peak blooms are expected between April 11 and April 14.,0.7347229889093867,1.0,1.0,0.8333333332916666
What is Zhanna Nemtsova's opinion on the Russian investigation into her father's assassination?,"['blamed extremists and protesters who he said were trying to stir internal strife in Russia. Many opposition sympathizers and people close to Nemtsov have pointed the finger at Putin and the Russian government he leads. They note that Nemtsov -- the deputy prime minister under former President Boris Yeltsin -- is the latest in a list of Putin\'s opponents who have been killed or imprisoned. Nemtsov had also been arrested several times for speaking against the government. In her first TV interview since her father\'s death, Nemtsova told CNN that Putin shares ""political responsibility"" for her father\'s assassination. She spoke from Germany. ""I don\'t believe in the official investigation,"" she said Saturday. Other opposition figures previously jailed or killed include Anna Politkovskaya, a journalist critical of Russia\'s war in Chechnya. She was gunned down at the entrance to her Moscow apartment in 2006. There was also business magnate Mikhail Khodorkovsky, who backed an opposition party'
 'of the case except what is in the media. ""I don\'t know where his cellphone and his personal belongings are, so I know only those things which are released or published in the press and nothing else, nothing else,"" she told CNN from Germany, where she is staying for a few days. ""As I have already said, I don\'t have any faith in this investigation."" Nemtsova said she loved her father ""more than anyone else in my life"" and that the two were very close. ""I think that he died a hero,"" she said. ""He was a very brave man, and he was clever, he was a great thinker and he was a brilliant physicist,"" having published dozens of articles on the subject, she said. He was also an economist and pacifist, she said, who most recently had been critical of the Kremlin\'s handling of the Ukraine crisis. ""I know that some Russian officials kept saying that he was not dangerous, but ... in an authoritarian regime, any person who does not agree with politics -- who criticizes the official standpoint -- is'
 'Moscow (CNN)Russia\'s president shares ""political responsibility"" for the assassination of opposition leader Boris Nemtsov, the late politician\'s daughter said Friday in her first TV interview since his death in central Moscow last week. Zhanna Nemtsova, who said she has no faith in the Russian investigation into the killing, said she believes his death will only deter other opposition voices, rather than embolden them. ""I cannot blame him (Putin) directly, (but) I would say that our authorities, including the president of Russia, have political responsibility as the head of state,"" Nemtsova told CNN\'s Matthew Chance. Nemtsova says she has no evidence about who ordered the murder, but that ""it\'s evident that it\'s politically motivated."" Nemtsov, 55, was shot dead last Friday night as he walked near the Kremlin with his girlfriend. A former deputy prime minister, he was one of Putin\'s harshest critics and had been arrested several times for speaking against the government. No one has']",Zhanna Nemtsova has no faith in the Russian investigation into her father's assassination. She believes the investigation is not trustworthy and has expressed skepticism about its findings. She also stated that she only knows what has been released or published in the press.,Zhanna Nemtsova said she has no faith in the Russian investigation into the killing.,0.4869057785698225,1.0,0.0,0.9999999999666667
Who was one of Putin's harshest critics?,"['Moscow (CNN)In his first substantive comments since Kremlin critic Boris Nemtsov\'s death, Russian President Vladimir Putin on Wednesday called the killing a ""disgrace"" and lashed out at what he called ""extremists"" and protesters. Nemtsov had been one of Putin\'s harshest critics and had been arrested several times for speaking against the President\'s government. The 55-year-old opposition leader was gunned down Friday night in Moscow as he walked across a bridge about 100 meters (330 feet) from the Kremlin with his girlfriend, Ukrainian model Anna Duritskaya, 23. His slaying spurred thousands to rally in his honor in Moscow, with many calling him a true Russian patriot at his funeral Tuesday. Nemtsov isn\'t the first of Putin\'s critics to turn up dead, with others including Anna Politkovskaya (who was fatally shot) and Alexander Litvinenko (who was poisoned). The Kremlin has staunchly denied accusations that it\'s targeting political opponents or had anything to do with the deaths. The'
 ""(CNN)Slain Russian opposition leader Boris Nemtsov isn't the first critic of President Vladimir Putin to turn up dead. Some Putin opponents claim it isn't a coincidence that critics of the powerful leader and his government have been killed or landed behind bars. But the Kremlin has staunchly denied accusations that it's targeting political opponents or had anything to do with the deaths. Here's a look at some cases of outspoken critics of Putin's government who've ended up in exile, under house arrest, behind bars or dead. The business magnate backed an opposition party and accused Putin of corruption. He spent more than 10 years behind bars on charges of tax evasion and fraud. In statements to CNN, Khodorkovsky said his prosecution was part of a Kremlin campaign to destroy him and take control of Yukos, the oil company he built from privatization deals in the 1990s. The Kremlin denied the accusation. At the time of Khodorkovsky's sentencing, the Russian Foreign Ministry said in a""
 ""Vladimir Putin's most outspoken critics, was shot in the back on a Moscow bridge as he walked with his girlfriend near the Kremlin in February 27. The three suspects visited by Tsvetkov deny they are guilty and have appealed their arrests, he said. Putin has condemned Nemtsov's killing and ordered three law enforcement agencies to investigate, the Kremlin has said. He also wrote to Nemtsov's mother, saying he shared her grief, and promised to bring those behind the killing to justice. CNN's Matthew Chance and Alla Eshchenko reported from Moscow, and Steve Almasy wrote from Atlanta. CNN's Elwyn Lopez and Karen Smith contributed to this report.""]",Boris Nemtsov was one of Putin's harshest critics.,Boris Nemtsov,0.2314434896417411,1.0,1.0000000000000002,0.9999999999666667
